Konfiguracija 1:
95 48 83 178 72 10 162 42 20 159 176 379 184 70 6 16 187 197 van 
104 50 106 209 66 10 207 32 23 158 223 635 220 73 14 9 188 196 saab
97 43 73 173 65 6 153 42 19 143 176 361 172 66 13 1 200 204 bus 
96 55 103 201 65 9 204 32 23 166 227 624 246 74 6 2 186 194 opel

Konfiguracija 2:
84 37 53 121 59 5 123 55 17 125 141 221 133 82 7 1 179 183 van 
104 54 100 186 61 10 216 31 24 173 225 686 220 74 5 11 185 195 saab
99 41 77 197 69 6 177 36 21 139 202 485 151 72 4 10 198 199 bus 
101 56 100 215 69 10 208 32 24 169 227 651 223 74 6 5 186 193 opel

Konfiguracija 3: 
96 40 70 120 50 8 137 50 18 141 162 269 139 80 10 13 183 183 van 
91 39 83 170 60 8 172 38 21 134 197 445 152 72 0 10 188 194 saab
89 40 76 188 76 7 150 44 19 136 174 342 148 72 3 8 193 197 bus 
107 52 101 218 64 11 202 33 23 164 219 610 192 65 17 2 197 206 opel

Konfiguracija 4:
90 48 77 132 56 10 157 44 20 164 169 354 187 78 1 3 182 191 van 
88 45 82 155 56 8 154 43 19 149 180 357 170 69 3 0 188 193 saab
81 43 68 148 64 7 150 45 19 144 175 330 171 80 1 2 182 185 bus 
96 47 103 215 69 10 200 33 23 147 220 598 200 73 6 6 187 194 opel

Konfiguracija 5:
89 45 81 246 102 43 155 44 20 160 200 347 177 90 9 17 183 192 van 
116 53 110 231 67 12 217 31 24 165 231 692 222 67 16 28 192 206 saab
98 40 77 171 61 6 172 37 21 139 197 457 141 72 4 17 199 201 bus 
93 43 78 166 59 7 151 44 19 141 182 342 174 68 15 2 193 197 opel
